rank,group,org_type,city,country,why_they_are_a_fit,why_this_rank,fit_for_1kg_non_nuclear_bar,has_own_tvac,likely_to_enter,anchor_potential,buzz_if_they_enter,best_contact_path,named_contact,website,notes
1,Michigan Tech Planetary Surface Technology Development Lab (HuskyWorks / PSTDL),university lab,Houghton MI,USA,"Owns a dusty thermal-vacuum chamber that already hits −196 °C / 10⁻⁶ torr with a 3,125-gallon LN2 tank. Finalist in both Break the Ice and Watts on the Moon. Built TEMPEST specifically for lunar-night power. Has student + alumni teams that already compete for prizes.","Highest combined score: they already have the chamber, they already work the exact problem, they already enter prizes, and they can also host other competitors. First name to call. If they say yes the rest of the roster is easier.",perfect,yes,high,yes,high,Direct email to the lab + Paul van Susante; also via Lunabotics / Watts alumni network,Paul van Susante (lab lead),https://huskyworks.space/,"Also a potential HOST chamber for the whole prize, not just a competitor. Dual-track them: enter, and/or host."
2,Carnegie Mellon Planetary Robotics Lab — MoonRanger,university lab,Pittsburgh PA,USA,"Built a suitcase-sized lunar rover with a custom LN2-shrouded TVAC, xenon lamp, and a published cryo-shroud writeup. Thermal system is the team's published obsession. Students already know how to run long soaks overnight.","They have already built the exact class of hardware (sub-10 kg, lunar thermal, self-powered) and the exact class of chamber. MoonRanger itself is not a night-survivor — that is the hook: 'your next paper is the night.'",perfect,yes,high,yes,high,Lab site + William 'Red' Whittaker / current thermal leads via labs.ri.cmu.edu/moonranger,William Whittaker / MoonRanger thermal team,https://labs.ri.cmu.edu/moonranger/,"Pitch as a follow-on to MoonRanger occultation work. They already published 'thermal safety during occultation' — this is the next increment."
3,Colorado School of Mines Center for Space Resources,university lab,Golden CO,USA,"World's first dedicated Space Resources graduate program. Owns multiple dirty vacuum chambers (Apollo, Mercury, Viking) that reproduce lunar pressure and temperature. Hosts the Space Resources Roundtable. Adjacent to Orbital Mining Corp.","Chamber + lunar-surface culture + a pipeline of graduate students who need a publishable hardware project. Also a recruiting node: one conversation here reaches a whole community.",perfect,yes,high,yes,high,"Angel Abbud-Madrid (aabbudma@mines.edu, 303-384-2300) or Christopher Dreyer (cdreyer@mines.edu, 303-273-3890)",Angel Abbud-Madrid / Christopher Dreyer,https://space.mines.edu/,"Ask them both to enter a student team AND to circulate the prize at the next Space Resources Roundtable."
4,UCSB Experimental Cosmology Group — Philip Lubin / H.E.L.P.S.,university lab,Santa Barbara CA,USA,"Won the Watts on the Moon grand prize for a power-transmission + storage system designed to operate through lunar day and night. Already demonstrated hardware in a NASA Glenn vacuum chamber at PSR-like temperatures.","They already beat NASA's night-power prize. A 1 kg hibernation payload is a natural, cheaper, public follow-on — and they have the prestige that makes other teams take the field seriously.",strong,via NASA Glenn relationship,high,yes,very high,Philip Lubin / UCSB experimental cosmology; Watts on the Moon alumni channel,Philip Lubin,https://www.nasa.gov/news-release/nasa-awards-1-5-million-at-watts-on-the-moon-challenge-finale/,"Their winning system was not 1 kg. Pitch the prize as a miniaturization / hibernation-architecture challenge, not a rematch."
5,Ohio State Electric Moon (Jin Wang / Wu Lu),university lab,Columbus OH,USA,"Watts on the Moon final four. Built and field-tested a 6 km high-voltage transmission demo, then took it into NASA Glenn TVAC. Faculty-led with graduate students who already know prize mechanics.","Proven prize competitors with lunar-night thermal hardware already in their lab. Slightly less 'lunar surface' identity than MTU/Mines/CMU, but the team exists and has done this.",strong,campus + NASA Glenn relationship,high,yes,high,Jin Wang and Wu Lu, ECE; OSU College of Engineering news desk as a warm intro,Jin Wang / Wu Lu,https://engineering.osu.edu/news/2023/07/buckeyes-make-final-four-nasa-moon-mission-challenge,Same pitch as UCSB: this is the hibernation-scale version of the problem they already solved at transmission scale.
6,Orbital Mining Corporation,startup,Golden CO,USA,"Watts on the Moon final four. Built a high-voltage DC converter that works through a sunless lunar night. Shares a building-ecosystem with Mines CSR and already used the Mines vacuum chamber for Lunar SCRUB dust work.","Small enough that a public 1 kg demo is a useful credential, close enough to Mines that chamber access is solved, and already prize-fluent.",strong,via Mines CSR,high,yes,high,Mines CSR intro (Abbud-Madrid / Dreyer) is the warmest path; also their own site / LinkedIn,David Asner (CSO) via Mines partnership coverage,https://www.orbitalmining.space/,"Do not pitch them on dust — they are already doing that. Pitch the night-survival power electronics they already started for Watts."
7,Terra Engineering (Valerie & Todd Mendenhall),small company,Gardena CA,USA,"Husband-and-wife team. Won Break the Ice outright ($1M). NASA cited their rover as robust enough for south-pole conditions. Todd has been entering NASA prizes since the 2007 Regolith Excavation Challenge.","The platonic prize competitor: small, serious, prize-fluent, and they just proved they will drive across the country to compete. A $5k purse is not why they would say yes — the public night-survival credential is.",strong,no (used Marshall TVAC as a prize perk),high,yes,high,NASA Centennial Challenges alumni channel; public coverage names both of them,Valerie and Todd Mendenhall,https://www.nasa.gov/centers-and-facilities/marshall/california-teams-win-1-5-million-in-nasas-break-the-ice-lunar-challenge/,"Lead with 'you were the team NASA said could survive the south pole — prove the night in public.' They do not have their own chamber; we have to broker one."
8,Starpath Robotics,startup,Hawthorne CA,USA,"Break the Ice 2nd place. Already tested their rover inside Marshall's 20-foot TVAC. Building south-pole mining hardware that must survive darkness. ~30 people, still small enough that a public 1 kg demo is not beneath them.","They have done the chamber, they work the environment, they are prize-fluent. Risk: they may consider $5k and open-source a distraction from a funded roadmap.",strong,via Marshall relationship,medium,yes,very high,Founders via starpath.space / LinkedIn; Break the Ice alumni channel,Aakash Ramachandran (rover lead) / Josh Kavilaveettil named in NASA TVAC writeup,https://starpath.space/,"Pitch as a cheap public credential for the night-survival claim their mining architecture depends on. Be ready for a no."
9,Cal Poly Aerospace — STELLA thermal vacuum chamber team,university lab,San Luis Obispo CA,USA,"Students just ran STELLA, their AFRL-funded TVAC, through its longest continuous cycle (24 h, overnight LN2 watch). The lab is actively looking for longer runs and external users.","A student team that has already sat overnight with an LN2 shroud is 80% of the way to this prize. They want longer cycles; we are offering a 354-hour one with an audience.",perfect,yes,high,yes,medium,Cal Poly College of Engineering / STELLA faculty (Abercromby; Lubos Brieda),STELLA facility leads,https://ceng.calpoly.edu/connection/2026/02/students-push-cal-polys-thermal-vacuum-chamber-through-its-longest-cycle/,"Also a candidate HOST chamber on the West Coast. Same dual-track as MTU."
10,Georgia Tech Space Systems Design Laboratory (Lightsey / Gunter / CSTAR),university lab,Atlanta GA,USA,"Owns a TVAC rated to 10⁻⁶ torr (Lightsey lab, 8 cu ft) plus a second campus chamber. Builds and flies CubeSats. Deep student pipeline.","Classic CubeSat lab with a chamber on site. The 1 kg / beacon-at-dawn spec is a CubeSat thermal problem they already teach.",perfect,yes,high,yes,medium,ssdl.gatech.edu faculty pages; CSTAR as the institutional front door,Glenn Lightsey / Brian Gunter,https://ssdl.gatech.edu/facilities/,Pitch to a senior-design or CubeSat thermal subgroup, not the whole lab.
