performer,role,org_type,hq,country,program,agency,vehicle,year,amount,technology,lunar_night_relevance,p1_status,developing_what,partners,source
Zeno Power,prime,company,"Washington DC / Seattle",USA,Harmonia Am-241 RSG,NASA STMD,Tipping Point SAA,2023,$15M,radioisotope Stirling RSG (Am-241),direct — lunar night and PSR power for years,banned_nuclear,Flight-ready Am-241 radioisotope Stirling generator for landers/rovers,"Blue Origin; Intuitive Machines; NASA Glenn; NASA Marshall; Sunpower; UDRI",https://www.nasa.gov/general/2023-nasa-tipping-point-selections/
Sunpower,convertor,company,USA,USA,Harmonia,NASA STMD,sub to Zeno Tipping Point,2023,part of $15M,Stirling convertor,direct — conversion of RHU heat to watts,banned_nuclear,Stirling engines for Zeno lunar RSG,Zeno; Blue Origin; UDRI,https://spacenews.com/nasa-selects-zeno-to-lead-team-to-develop-radioisotope-power-system-for-lunar-applications/
University of Dayton Research Institute,partner,university lab,Dayton OH,USA,Harmonia,NASA STMD,sub to Zeno Tipping Point,2023,part of $15M,integration/test,direct,Harmonia integration and test,Zeno; Sunpower,https://spacenews.com/nasa-selects-zeno-to-lead-team-to-develop-radioisotope-power-system-for-lunar-applications/
Blue Origin,partner,company,Kent WA,USA,Harmonia,NASA STMD,sub to Zeno Tipping Point,2023,part of $15M,lunar RSG architecture,direct,Stirling/RPS integration for lunar surface,Zeno; Sunpower,https://spacenews.com/nasa-selects-companies-to-advance-lunar-power-and-other-technologies/
Intuitive Machines,sub + integrator,company,Houston TX,USA,Harmonia,NASA STMD,sub to Zeno Tipping Point,2023,~$2.4M of $15M,lander-integrated Am-241 RSG,direct — survive lunar night cycle on Nova-C class,banned_nuclear,Interoperable Am-241 RSG for landers,Zeno,https://investors.intuitivemachines.com/news-releases/news-release-details/nasa-selects-intuitive-machines-team-develop-survive-lunar-night
NASA Glenn Research Center,gov partner,gov lab,Cleveland OH,USA,Harmonia,NASA STMD,in-house on SAA,2023,n/a,RPS + hibernation + LESTR,direct,Government technical partner on Harmonia; also owns the non-nuclear hibernation path,Zeno team,https://www.nasa.gov/general/2023-nasa-tipping-point-selections/
NASA Marshall Space Flight Center,gov partner,gov lab,Huntsville AL,USA,Harmonia,NASA STMD,in-house on SAA,2023,n/a,RPS / thermal,direct,Government technical partner on Harmonia,Zeno team,https://www.nasa.gov/general/2023-nasa-tipping-point-selections/
Zeno Power,prime,company,"Washington DC / Seattle",USA,Survive-the-Night Package on Blue Ghost,NASA SMD,CLPS CS-8 incentive (industry-reported ~$15M),2026-2028,undisclosed share of ~$15M incentive,Am-241 5 W RHU,direct — 120 h lunar-night beacon gate,banned_nuclear,Self-contained 5 W thermal RHU + comms/power to survive night on Firefly lander,Firefly Aerospace,https://spacenews.com/firefly-aerospace-to-fly-zeno-power-radioisotope-heating-unit-on-lunar-lander-mission/
Firefly Aerospace,integrator,company,Cedar Park TX,USA,CS-8 Blue Ghost night demo,NASA SMD,CLPS CS-8,2026,$144.2M lander + night incentive,lander + hosted RHU,integrator flying the tech,banned_nuclear (as nuclear host),Hosts Zeno RHU; studying lander-level RHUs later,Zeno,https://spacenews.com/firefly-aerospace-to-fly-zeno-power-radioisotope-heating-unit-on-lunar-lander-mission/
Intuitive Machines,integrator,company,Houston TX,USA,CS-8 night incentive,NASA SMD,CLPS CS-8,2026,$148.3M lander + ~$15M night incentive (IM statement),Am-241 RHU on Nova-C,direct — same 120 h gate,banned_nuclear,Pursuing Am-241 RHU; needs NASA nuclear indemnification,undisclosed RHU supplier (Am-241),https://spacenews.com/firefly-aerospace-to-fly-zeno-power-radioisotope-heating-unit-on-lunar-lander-mission/
